Test_sample,protein,protein_name,category,abundance_tertile,pearson_r,Observed,Predicted
3,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,3.3186893233505543e-07
4,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,3.79736320610391e-07
5,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,0.0009912365349009633
6,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,0.000368620763765648
7,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,1.6788606444606557e-05
8,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,5.670454811479431e-06
9,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,6.107783292463864e-07
10,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,5.653260086546652e-05
11,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,5.90650161029771e-05
12,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,0.014365652576088905
13,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,0.0300546083599329
14,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,2.3252028768183663e-05,4.534231720754178e-06
15,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,2.3865210096118972e-05,5.306941602611914e-06
16,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,1.1817118320323061e-05,1.7839713564171689e-06
17,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,1.1464077033451758e-05,3.498232035781257e-05
18,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,3.679109239485001e-09
19,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.024519674479961395,1.1432251085352618e-05
20,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,8.718298261101154e-08
21,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,3.312692342660739e-08
22,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,3.3577143843110946e-10
23,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,3.6033466130902525e-06
24,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,5.617172291749739e-07
25,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,5.273374199532554e-07
26,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,4.603670458891429e-05
27,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,4.441445980774006e-06
28,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,3.046404017936766e-08
29,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,3.046404017936766e-08
30,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,2.5991010232928602e-08
31,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,4.431908706692411e-08
32,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,1.505584634742263e-08
33,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,9.40316358111204e-09
34,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,5.147540349526025e-08
35,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,1.2769199031481548e-07
36,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,1.0643505987673052e-07
37,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,3.10311843350064e-05
38,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,5.605888873105869e-06
39,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,3.616180265453295e-06
40,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,4.66900615947452e-07
41,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,4.324205747252563e-06
42,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,5.4195702432480175e-06
43,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,4.478417758946307e-05
44,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,5.630382656818256e-05
45,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,3.471428863122128e-05
46,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,0.03161247819662094
47,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,1.3204045501424844e-07
48,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,3.9117071537475567e-07
49,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,3.488636650672561e-07
50,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,1.6139248373292503e-06
51,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,9.214766727438928e-09
52,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,1.9726959621380047e-08
53,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,1.0898548907789518e-07
54,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,1.2448842880985467e-06
55,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,7.032485882518813e-08
56,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,2.2615336092712823e-07
57,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,2.9323089734134555e-08
58,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,2.394513785475283e-06
59,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,4.7940833525217386e-08
60,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,5.56188126665802e-08
61,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,9.119948884972473e-08
62,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,5.883016740426683e-08
63,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,5.150817994348245e-09
64,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,2.888549666124618e-08
65,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,1.1696824913087767e-06
66,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,4.961592594554531e-07
67,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,7.019898440319139e-09
68,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,7.019898440319139e-09
69,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,1.809268845853751e-10
70,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,1.08859076135559e-05
71,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,7.930307077685939e-08
72,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,2.1781669090614741e-07
73,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,4.805912112715305e-08
74,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,4.805912112715305e-08
75,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,4.805912112715305e-08
76,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,6.096409379097167e-06
77,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,6.096409379097167e-06
78,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,6.096409379097167e-06
79,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,6.096409379097167e-06
80,P07355,Annexin A2,Cytoskeletal,Low,-0.021599670872092247,0.0,5.063503522251267e-06
1,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0017306312220171094,0.004068118054419756
2,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0,0.0008915324578993022
3,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0,5.738672204103068e-09
4,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0,6.856537559940534e-09
5,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0005617203423753381,0.001573661109432578
6,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0,0.0010925529059022665
7,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0,2.651863042046898e-06
8,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0,1.408307252859231e-05
9,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0,6.358658879435097e-07
10,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0,0.00013131544983480126
11,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0,0.0002517449320293963
12,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0,0.0005194320110604167
13,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0,0.00011788363190134987
14,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.001267235609702766,0.0009601967176422477
15,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0013125864788889885,0.0010329518700018525
16,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0009099181042984128,0.0009165245573967695
17,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0010890873381868005,0.0030936687253415585
18,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0003446238988544792,0.0003927864017896354
19,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0,0.0031605158001184464
20,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,5.8215780882164836e-05,0.0025992526207119226
21,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.00010845567885553464,0.00014640357403550297
22,P01877,Immunoglobulin heavy constant alpha 2,Immunoglobulins,Low,0.2620624005794525,0.0,2.571023969721864e-06
