FPR,ROC_mean_TPR,ROC_CI95_lower,ROC_CI95_upper,Recall,PR_mean_precision,PR_CI95_lower,PR_CI95_upper
0.35000000000000003,0.9105912897699796,0.8612597139481127,0.9471665962161316,0.35000000000000003,0.9250893016125076,0.8431906054420413,0.9551402181117858
0.355,0.9112528007339303,0.8636772413813469,0.9483078199116122,0.355,0.9219498382823266,0.8427436370653243,0.9548104335972968
0.36,0.9120618208750334,0.8655386625388053,0.950298309003788,0.36,0.9189888390487135,0.8406572014365685,0.9536572462195552
0.365,0.9149678729184411,0.8677165486515181,0.9512227033644659,0.365,0.9148128061222918,0.83765654072408,0.9532236521809824
0.37,0.9163741308901209,0.8706518135362317,0.9527925046446043,0.37,0.9143975263716697,0.8373634124043391,0.9527856272438553
0.375,0.9186690185032859,0.8733524553707405,0.9541107785540219,0.375,0.9121803870656114,0.8346398950198581,0.9508971784684418
0.38,0.9217631299781324,0.8758923017131395,0.9553430245036671,0.38,0.9125758448053717,0.8336881649808359,0.9511760165816563
0.385,0.924411458882005,0.8780490647980335,0.9563616950608612,0.385,0.911455818023446,0.8317237197858846,0.9497357699718975
0.39,0.9254314896308685,0.880432166413972,0.9574392250902253,0.39,0.911550788963268,0.831450993434949,0.9493762229708179
0.395,0.9288467386257321,0.8831508417943359,0.9585472384012363,0.395,0.9115517124439606,0.8304052177006064,0.9490457659343109
0.4,0.9326672204041245,0.886072695041248,0.9601800314711407,0.4,0.9077497724084318,0.8213002164559831,0.9447202076958902
0.405,0.9342526101737052,0.8873132858722732,0.9611544296224875,0.405,0.9083060324838554,0.8218815212921263,0.9448884082676368
0.41000000000000003,0.9350980824998554,0.890417562999241,0.9623002158326543,0.41000000000000003,0.9077573319055968,0.8220587080351027,0.9449548200769657
0.41500000000000004,0.9355143980977125,0.8922815357836454,0.9629132805102182,0.41500000000000004,0.9065168195748202,0.821169417736073,0.9441643107737528
0.42,0.9370917445682783,0.8946208916075346,0.964401074713081,0.42,0.9054254858640379,0.8177949878898464,0.9430902491587995
0.425,0.938235862339171,0.8976315603091679,0.9652143404069676,0.425,0.9043631990819543,0.8173035076589361,0.9420899648723275
0.43,0.9392966081482887,0.8993621434497198,0.965968678526309,0.43,0.8946979988670078,0.8134314251266715,0.9411042656109914
0.435,0.9405445847040748,0.9015273622080171,0.9670219465513314,0.435,0.8937465807543878,0.8130629126960864,0.9408398815769153
0.44,0.943066760240956,0.9044954596394154,0.9679492532704436,0.44,0.8913634914232551,0.8104837934629169,0.9390412005568388
0.445,0.9440638231406774,0.9066522832534365,0.9688413622726865,0.445,0.884909271486968,0.8076346300820977,0.9371725108860811
0.45,0.9451796407803288,0.9084601413937131,0.9694650200358538,0.45,0.8852366566336476,0.8065407818938282,0.9364773544414122
0.455,0.9484782109065445,0.9111253595404335,0.9703346686319114,0.455,0.8842501141620895,0.8046446652699357,0.9349384463548661
0.46,0.9503624944622866,0.9126313562924938,0.971381707357292,0.46,0.8837021289092719,0.8044988366688599,0.9346338763438133
0.465,0.9509460930628917,0.9142008382529683,0.9720863366847293,0.465,0.8815830780580014,0.8034523347628413,0.9335003606657393
0.47000000000000003,0.9518392852717721,0.9179059263696203,0.9730755807429763,0.47000000000000003,0.8810942063179965,0.8012435137502042,0.932212687479168
0.47500000000000003,0.9532397755739221,0.919219695046669,0.9737908648641822,0.47500000000000003,0.8795382227725176,0.7996201125925042,0.9302459230358617
0.48,0.9545767222673227,0.9219081771408805,0.9750814672760453,0.48,0.878384152480554,0.799035315417988,0.9297952099788452
0.485,0.9552932608697466,0.9237988282687579,0.9755262810202143,0.485,0.8775017918731137,0.7986482640226746,0.9297673186670938
0.49,0.9570200125759798,0.9262206694671008,0.9759328389903467,0.49,0.8766924644657936,0.7986131826076226,0.9292790144050083
0.495,0.9576100753006964,0.927405432432405,0.977013855763422,0.495,0.8772118673660544,0.7993821109891165,0.9294605199772619
0.5,0.9613506837549594,0.9322313396490914,0.9784007162002065,0.5,0.8661777075455122,0.7741571552450395,0.9161223046708463
0.505,0.9614680194688363,0.9322658847883517,0.9784016631359046,0.505,0.8666415958458576,0.7749937317172169,0.9163347086234742
0.51,0.96260458024183,0.9341553179718299,0.9790136101378527,0.51,0.8671053591242526,0.7758298046161174,0.9164187326824287
0.515,0.9641956100804695,0.93539547332602,0.9796660330055598,0.515,0.8675662889778062,0.7764612645802942,0.9159688808265058
0.52,0.9651720090295326,0.9367245622826688,0.9804371573661006,0.52,0.8663630352811129,0.7740799450626713,0.9151869077332523
0.525,0.9661999425608153,0.938771315582706,0.9813108392585664,0.525,0.8648389881581973,0.7736927539235031,0.9147069658472684
0.53,0.9663521866485117,0.9408054958473703,0.981703297350445,0.53,0.8605995177871533,0.7721740792328294,0.9128385022907569
0.535,0.9673740797418096,0.9420235951550546,0.9821805114340308,0.535,0.8561185448792081,0.7719370371557033,0.9111950068694048
0.54,0.9684932318978837,0.9437592013066524,0.9826060782356022,0.54,0.8544730390072085,0.7697975117348528,0.9093889127567419
0.545,0.9696511710575473,0.9448581959964589,0.9832755820984224,0.545,0.8548613783853324,0.7695328446216104,0.9089811905776508
0.55,0.9722393916816023,0.9468940485014024,0.9837206797811016,0.55,0.8525630646775081,0.7651180549865292,0.906778147061749
0.555,0.9726426722702651,0.9483738669158508,0.9842402134332146,0.555,0.8525310919170634,0.7649300466183903,0.9064778957123979
0.56,0.9737937994978411,0.9501374675275671,0.9846801479137985,0.56,0.8512761262946613,0.7614457574351333,0.9036924256231383
0.5650000000000001,0.9738503410995055,0.9507493022177363,0.9852762069441388,0.5650000000000001,0.8460689116731216,0.7598264747130951,0.9029263091234415
0.5700000000000001,0.974619859892511,0.9520658311001112,0.9855946801323332,0.5700000000000001,0.8443507270985048,0.7587027788445699,0.901853295052779
0.5750000000000001,0.9751889557853248,0.9533101265404355,0.9862222331552132,0.5750000000000001,0.8350581570518554,0.7540740121451865,0.8991450261518679
0.58,0.9757222191101613,0.9545555968197207,0.9865251627291581,0.58,0.8348781182471212,0.7524151826789214,0.8975895663811602
0.585,0.9763169678442084,0.9561121397012621,0.9867878747691624,0.585,0.8321918980573675,0.7504240253938532,0.8960907469800259
